n,seed,fractional,independent,rounded,certificate,effective_n,solver_residual
32,0,0.3255670977637807,0.6417263731483944,0.4888859960033577,0.6417263731483943,3.0892697742401114,2.220446049250313e-16
32,1,0.22710639446943479,0.3228350991922919,0.23971137446276158,0.3228350991922919,7.117187946716557,2.220446049250313e-16
32,2,0.12765140562807314,0.16732899554599204,0.13004522496070578,0.16732899554599204,9.651650155073385,2.220446049250313e-16
32,3,0.18380718748677813,0.24641957726398156,0.18675060463737425,0.24641957726398156,8.80690809634459,1.1102230246251565e-16
32,4,0.14367034417057742,0.19086155503140814,0.14669219728320043,0.19086155503140811,9.133290387119041,2.220446049250313e-16
32,5,0.2440631681610287,0.6220126973368703,0.5336899656593015,0.6220126973368703,1.9372679364879795,4.440892098500626e-16
32,6,0.1120690650877973,0.14213976557003477,0.11534199940053386,0.14213976557003472,11.180557481924575,4.440892098500626e-16
32,7,0.14215517920472695,0.21178481729644455,0.15542327562832942,0.21178481729644452,6.124770274583824,2.220446049250313e-16
32,8,0.1079138552123858,0.16390682091298123,0.12676025700314336,0.16390682091298125,5.781825655891546,2.220446049250313e-16
32,9,0.11586984630930633,0.1604216835009408,0.11938475856197849,0.1604216835009408,7.802361492584872,2.220446049250313e-16
32,10,0.13256584556024423,0.18286631292217226,0.13964607496704376,0.18286631292217218,7.906438201044383,2.220446049250313e-16
32,11,0.1675374247493465,0.22208672162636733,0.1757691768520637,0.22208672162636725,9.21390930814671,2.220446049250313e-16
32,12,0.1496676490112143,0.1905947415790848,0.15368219112699166,0.19059474157908474,10.970799997313517,4.440892098500626e-16
32,13,0.15137802812128764,0.18925707208614076,0.15387190478730545,0.18925707208614073,11.989058773110603,2.220446049250313e-16
32,14,0.14835054040647977,0.29965448026188735,0.23327318226644259,0.29965448026188735,2.9414410599271257,4.440892098500626e-16
32,15,0.11563814445059314,0.14254442713515258,0.11695812182571319,0.14254442713515258,12.893435983665714,2.220446049250313e-16
32,16,0.15394722874053068,0.21051238333136235,0.16917025682545986,0.2105123833313623,8.164773694377043,2.220446049250313e-16
32,17,0.15186962886422029,0.26000792797956107,0.1921735865641453,0.26000792797956107,4.213205592467351,2.220446049250313e-16
32,18,0.11450855669098525,0.14544759227301038,0.1170208739023913,0.14544759227301038,11.10330893030607,2.220446049250313e-16
32,19,0.13680676369510603,0.2238520407036445,0.17086112911169554,0.22385204070364445,4.715020793661894,2.220446049250313e-16
64,0,0.14108703684579993,0.1769779375234559,0.15001438892682484,0.17697793752345592,11.792992166421271,2.220446049250313e-16
64,1,0.1559169529484534,0.1860205414185638,0.1564084799306986,0.1860205414185638,15.538043223976008,2.220446049250313e-16
