network,outage_size,outage,count,cer,diagonal,equal,robust,common
30,2,"1,2",0.10958083774493219,0.10537340035840347,0.10973489950546784,0.11278010764731326,0.10537340035840347,0.1034369063949118
30,2,"1,3",0.1368631633850706,0.13557077727223465,0.1365168422118912,0.1365168422118912,0.1365168422118912,0.13535768897255562
30,2,"2,3",0.11692951117016899,0.11113925007664399,0.11556042845031013,0.1164471634844873,0.11366079620930279,0.10744133151570966
31,1,0,0.12806711069452423,0.1226381815571069,0.12602906696393412,0.12618381417838492,0.12274274637107886,0.12200913811469649
31,1,1,0.13872524142291548,0.13553366792971985,0.13877264659481608,0.14108938377631086,0.13544373749830252,0.13328632884343045
31,1,2,0.12953917413536326,0.12768064021647457,0.1280968501094104,0.1297511163761626,0.12767847737636442,0.1273561725888901
31,1,3,0.14889356200887566,0.1409478547021565,0.1459218659913551,0.1459218659913551,0.1411987873179271,0.13846847497891485
31,2,"0,1",0.12783697944584713,0.12505578746492452,0.1311466541415064,0.13561926316315184,0.12505578746492452,0.12342241797610098
31,2,"0,2",0.11770494248733096,0.11797335083219442,0.11738341021808187,0.11755702661557314,0.11779327395753975,0.11845239307928086
31,2,"0,3",0.1345965251895546,0.13410207475344624,0.1404206146620958,0.1409227017346012,0.13761799545137432,0.12915535848721713
31,2,"1,2",0.1335588338863593,0.12947792415849102,0.13256964140899818,0.136003455592706,0.12947792415849102,0.12815494251708567
31,2,"1,3",0.16396631882663487,0.16335139041019317,0.16477704701193763,0.16477704701193763,0.1647630142086789,0.1632596105155362
31,2,"2,3",0.14306941593199882,0.1358921699668963,0.1399888881688966,0.1407061796243167,0.1376772448871779,0.1330569930952192
32,1,0,0.1631702613829303,0.15462565620659008,0.1569733458138861,0.16037351921708692,0.15462565620659008,0.15402019057675714
32,1,1,0.18023357666453863,0.17562124915490557,0.1762783951371636,0.17966096837319653,0.17558718757629857,0.17109811289974203
32,1,2,0.168716576845991,0.16108117345994372,0.16133819581632666,0.1615041691534135,0.16108117345994372,0.16092422368518788
32,1,3,0.188787483649777,0.18048912450463012,0.1843292296106962,0.18424818500838053,0.18054467596996818,0.17710037077985774
32,2,"0,1",0.17546643830695013,0.15809430582155448,0.16343974090186392,0.16834366759859368,0.15809430582155448,0.15524861119462435
32,2,"0,2",0.14644152179880837,0.14707259819597868,0.14617270027499132,0.1465335334510022,0.14672805670864408,0.14737401549186563
32,2,"0,3",0.1768444812345889,0.1675720632427557,0.17505556676610567,0.1760535472744031,0.17127388022366385,0.16265736861752972
32,2,"1,2",0.1739312022786158,0.1631672731550174,0.1659508505220669,0.16998131836880287,0.16318108623395072,0.16172774344558555
32,2,"1,3",0.2054617980129027,0.2036597657307882,0.20515059434411692,0.20515059434411692,0.20515059434411692,0.2034266614923459
32,2,"2,3",0.17670577868309745,0.17031314811372789,0.1737445105228203,0.17433074112190663,0.17263210992899924,0.16772277032987268
33,1,0,0.1690490557031274,0.15846607996526152,0.16198843804005938,0.16678177274717965,0.15846607996526152,0.15781307434910197
33,1,1,0.18875888653182907,0.18162236807825702,0.1835552949962951,0.18719763016120947,0.18147999407898652,0.1771190314364967
33,1,2,0.17215514053479236,0.1704901027425354,0.17052169932687755,0.17052169932687755,0.1704901027425354,0.16987168190322643
33,1,3,0.18922595305884735,0.18476738154030847,0.1899726304526806,0.1899726304526806,0.1847996191798823,0.18324641583157747
33,2,"0,1",0.18206300442135884,0.16146314699211056,0.1700242676893148,0.17484609554956568,0.16146314699211056,0.15976353406704805
33,2,"0,2",0.1538898973096981,0.1519685753759467,0.1518481541295815,0.1521169608045225,0.1519685753759467,0.1521144150477713
33,2,"0,3",0.1798889624036229,0.1738956721966456,0.1821688011671963,0.18247451460206035,0.17844552163463417,0.16710722436201403
33,2,"1,2",0.17917417332932606,0.17122716784565156,0.17156285910997388,0.1765022543973906,0.17122716784565156,0.16937511791693197
33,2,"1,3",0.2117859890932846,0.21132538148226443,0.21315819661857988,0.21315819661857988,0.2130770889387098,0.21120800050666758
33,2,"2,3",0.18426308274955897,0.17718846768680352,0.18058620014071441,0.18172723649973377,0.17779827453530261,0.17563499135495766
34,1,0,0.18479366293071414,0.16721175138985953,0.17039676481970434,0.18375509278926894,0.16700030354973433,0.16709103597759992
34,1,1,0.19935553875577053,0.19726250019283736,0.20126058048506806,0.2018328665120028,0.1972698171685401,0.195093380288127
34,1,2,0.19247701905299108,0.1871352316176995,0.18746179597821533,0.1880853617779047,0.1871352316176995,0.1867858639974582
34,1,3,0.2083533413130924,0.20346174153748892,0.20555919735688752,0.20766870096595386,0.20371376496001004,0.20036998199237818
34,2,"0,1",0.1756883576255509,0.17012241345625112,0.17926855932293734,0.18583255506430657,0.1701440665753169,0.16869407831275557
